p_female_pct,Winter_op,Spring_op,Summer_op,Autumn_op,S1_op
0,23.25,23.5,24.0,23.5,25.0
5,23.25,23.5,24.0,23.75,25.0
10,23.5,23.75,24.0,23.75,25.25
15,23.5,23.75,24.25,23.75,25.25
20,23.5,23.75,24.25,24.0,25.25
25,23.75,24.0,24.25,24.0,25.25
30,23.75,24.0,24.5,24.0,25.25
35,23.75,24.0,24.5,24.25,25.25
40,23.75,24.25,24.5,24.25,25.25
45,24.0,24.25,24.75,24.25,25.25
50,24.0,24.25,24.75,24.25,25.5
55,24.0,24.25,24.75,24.5,25.5
60,24.0,24.5,25.0,24.5,25.5
65,24.25,24.5,25.0,24.5,25.5
70,24.25,24.5,25.0,24.75,25.5
75,24.25,24.75,25.25,24.75,25.5
80,24.25,24.75,25.25,24.75,25.5
85,24.5,24.75,25.25,25.0,25.5
90,24.5,24.75,25.5,25.0,25.75
95,24.5,25.0,25.5,25.0,25.75
100,24.5,25.0,25.5,25.0,25.75
